QueryID,lpbound_Estimate
1,79850.99999999975
2,14309901.204419225
3,8151020.284583402
4,13025447.045562401
5,20479330.18707491
6,872890.287061326
7,105887039.36750978
8,59603177.73144404
9,1208624.8946448064
10,5111710.755352389
11,876079.6001551459
12,2095548.1375255957
13,12108745.10059935
14,24530.760404031505
15,14309901.20441919
16,469403.15526376216
17,424352.0000000009
18,116366.58885783135
19,11076.000000000011
20,300845.0000000002
21,34769.999999999985
22,6834498.123818023
23,398537.7782679091
24,20016.61331127513
25,3978040.6135357614
26,189237.53416737352
27,2528659.786538411
28,55451083.93125036
29,2786546.8340900443
30,633648677.1744429
31,216805749.79469302
32,420284364.8716758
33,4548783.866430303
34,1799147184.8449688
35,5073601439.1528845
36,10334790.903819509
37,91431576.31495911
38,1811881206.6103797
39,98878220.72517213
40,231500.6452480807
41,39924.99999999997
42,1590707.246098842
43,52819806.04339134
44,12912969.50469641
45,119093.3492384232
46,7316166.082175812
47,6686998351.794245
48,9107684.768457785
49,7328243659.061624
50,155669057.57615575
51,7553966092.170584
52,8837946806.077316
53,86292315.5803222
54,5214966.721452252
55,32229430.72469581
56,193504512.00000107
57,134943936.00000057
58,15496852024896.072
59,144723230737.92456
60,902681016.5027602
61,777088161.4862293
62,51157280.09946679
63,8521713.294941988
64,113562191.99215621
65,38554766.18917699
66,1530318.9555178185
67,1316610.5832796912
68,156296981401.60345
69,50249214333.596794
70,23639248047.484337
71,3081990515.6470356
72,10322440386.976871
73,1224232094.43942
74,3688348331.2313457
75,339256472.76641434
76,24473015.248646952
77,1284169359.5408087
78,81687552.3061484
79,153844172.40599754
80,12970171.439657245
81,3407758.900300896
82,5831635.920391457
83,8676054.159547236
84,32725723.72248351
85,32725723.72248351
86,1045403.3873323714
87,1124586.0783808397
88,14309901.20441919
89,1879214.9737230693
90,5081808.298423414
91,61000507.37673342
92,243828.39164051364
93,6232948.894892676
94,6844490.868370618
95,22773771.246988993
96,14443869.603497118
97,1579115309.6207056
98,32740205652.074482
99,52114234.66685375
100,1404035.6749135626
101,1164308.7442749003
102,15918993.636172384
103,27361379.518737104
104,322472246.3787929
105,95236635627.08527
106,55454656.43375281
107,1771137192.9422626
108,1799147184.8449688
109,77224161.17650223
110,77224161.17650223
111,87037798.44298956
112,87037798.44298956
113,98458898.46369769
114,183709895.95330435
115,272911429.084172
116,2824385544.1781735
117,2025421.2711342124
118,1335453.3538738275
119,577359558.7856041
120,18188469006.781616
121,285460776.974164
122,16971999954.925505
123,18073914597.52577
124,83728788.17949915
125,3913897.8739563366
126,7645135761.217649
127,49333786.87257088
128,7316166.082175812
129,50809435.298886925
130,1298383.581278188
131,3037770863172.8574
132,1239458202.4948716
133,5826218800.128841
134,77173400.33013462
135,310595173196.4634
136,13399743799.44837
137,15862941.234855628
138,192655808.0000003
139,1223259239.0077114
140,48530598335.7319
141,59884126291.39934
142,90328983232.00446
143,61654747289.65073
144,3865353112.970911
145,46408694.93118772
146,67082665.73704381
