QueryID,flat_Estimate
1,79851.00000000001
2,10782675.810747836
3,26547747.471488565
4,11438274.385840114
5,7707062.890286717
6,1582492.265757349
7,6690936.975761932
8,5832.189149014653
9,697719.4656114214
10,3644735.383755178
11,1090490.4287811036
12,5757532.891601231
13,1280967.4934936108
14,1230.681734926887
15,10692721.424967406
16,821173.9191519577
17,17871.619502781596
18,302435.0732862432
19,87784.84824687774
20,230139.29504475568
21,257000.5604867384
22,2324384.186464732
23,531482.3440254019
24,1593.373903563991
25,637308.5554017845
26,140381.86691597765
27,309550.63542591565
28,15539548.199411692
29,163957.13570152712
30,106813519.74290323
31,10481805.301572796
32,198789080.44347388
33,2076267.6788476638
34,450198262.66665107
35,156279.8862791806
36,50898.010776120966
37,562340.625705788
38,6028363814.665952
39,79668065.8685721
40,62367.1260909963
41,3311.2566433871043
42,951873.4266819578
43,60667001.77480365
44,2381306.7450378914
45,1324579.5889046898
46,751161.1953791858
47,5993100.403595122
48,26629842.97178136
49,6579671.47875666
50,334657.0360248684
51,6287121716.102038
52,723106076.9315636
53,8132148.242970001
54,8953.710053885681
55,1149655752.1721115
56,224944288.56861645
57,193922.68969730564
58,43398701579.99784
59,37010.99885408012
60,12397268.76139354
61,442781.9092677598
62,79976.1016088728
63,9768.087934296127
64,179549.89976021423
65,15662.378042991188
66,4306.536509867453
67,593.6023122658708
68,166809143.21967262
69,12654821.213234087
70,3337490.9101668675
71,1788629.3897120543
72,350264.86445331457
73,120592.07259074209
74,8625396.442461742
75,3086470.6887656846
76,748745.4890986716
77,209376.43330686577
78,78518.59133824163
79,16288.101325746658
80,23471702.80399594
81,2785296.0113287345
82,21293858.697611295
83,16608158.874348447
84,9641073.086762467
85,8027435.733679407
86,147813.73737978993
87,2390973.1806255523
88,10692721.424967406
89,8042016.230760614
90,2272504.2427691645
91,11845883.770565985
92,135297.591495521
93,1746422.1396384516
94,1086330.1064107702
95,3520423.5252167606
96,2000570.561890076
97,25223307.31599751
98,120213331.52523437
99,76026387.43950541
100,255679.84547120373
101,511199.1115206217
102,1488518.4600344186
103,14135366.087931572
104,635573004.4444927
105,2256942759.580837
106,168964062.7387237
107,41699713.626274966
108,450198262.66665107
109,2694203.604993499
110,3415069.8704312555
111,522570.0014009654
112,490505.5201735529
113,401324777.25609064
114,405174977.37997735
115,752149581.9325104
116,38352516.54405465
117,276008.6063587885
118,301249.5471987102
119,28994455.896363333
120,7941013052.541544
121,15837936.055794824
122,4570281708.38053
123,114526465.19083422
124,149285205.9678409
125,2471503.7383570787
126,1026366642.587802
127,447751.7999795409
128,751161.1953791858
129,281328.1529666683
130,25979.771177321865
131,1421844.6313579294
132,369001800.57164204
133,148012721.27895305
134,67732844.3139842
135,567954310.4861315
136,571521123.5552996
137,196646.39428214324
138,3429316.378233037
139,2140511.733953467
140,9833637.367129508
141,18606042.49871202
142,8690488.085982315
143,29624076.67658899
144,23996958.70575606
145,131543.16980165843
146,251551.27551777524
