QueryID,factorjoin_Estimate
1,79851.0
2,12296486.0
3,4125085.0
4,4240229.156862461
5,10719713.0
6,1543793.0140281592
7,11102.0
8,9389.02743406362
9,1043973.0
10,3915791.921105747
11,2401009.7246379177
12,2385073.506094592
13,2161996.466666667
14,826820.5899679099
15,12154007.4801889
16,1536314.358089643
17,596.0
18,90010.45959248576
19,11102.0
20,148074.902382403
21,29112.33393396748
22,3542140.991326927
23,787194.0
24,27280.327868852462
25,1342561.4721015703
26,194560.2463419551
27,203118778.96659377
28,5134072.0
29,1257828.7022633222
30,336677094.0600906
31,378514893.38838536
32,297503054.5925564
33,4066189.4175849673
34,630890738.1646899
35,19196314.782982003
36,9074331.38602164
37,14362712.291090284
38,395153942.5822273
39,57657234.13267144
40,731903.3033696263
41,145170.34103624662
42,1144396.601888623
43,90579253.86588816
44,37100294.716218606
45,2211835.4801838608
46,7668053.314620008
47,120804669400.61356
48,219725666.57969943
49,29338480500.007
50,224906246.8418408
51,7364491693.163481
52,2530658820.7886715
53,184539.0
54,74820.00493468257
55,74252594.0823073
56,156796108.0
57,4914366.495277609
58,1211860427898.7974
59,10094817972.714828
60,6041630.0
61,1511076.4751066186
62,241043.35293305875
63,5121178.272811936
64,626533.5421626306
65,1159004.5984323318
66,1260231.4492940996
67,584316.6151289587
68,72383363.08048543
69,28361354.27422085
70,33510008.91378872
71,55565366.78292392
72,1425730.1826898106
73,2214694.1428571427
74,6587977.464414392
75,4791125.938006495
76,4762220.67815516
77,4424158.0
78,6925073.191613887
79,4446852.12821651
80,13079174.862446424
81,43049375.77360646
82,3274788.252724537
83,4006017.4266516846
84,12466375.955636866
85,13757318.390682124
86,287430.0456671204
87,3028701.786988414
88,12154007.4801889
89,2179889.4853525315
90,32302579.967413858
91,11427425.979252055
92,85699.40978861056
93,3179599.199579643
94,2855558.471234232
95,7283445.672688949
96,5369717.97339545
97,947261330.1924592
98,2373494430.905164
99,96500785.47841944
100,577004.4014369384
101,606284.1571243231
102,4692943.709656187
103,81151921.481319
104,228659863.96923664
105,1083821175.0847468
106,316725312.22932893
107,660353405.3605113
108,630890738.1646899
109,11178272.620099075
110,12568135.715277342
111,12945668.174360326
112,11677413.858504318
113,103441940.67700356
114,483896208.3527001
115,220257713.18361804
116,27937454.088888887
117,774214.9732987897
118,1002471.12398388
119,75432746.7135585
120,11216769308.41286
121,27945308.092507355
122,9671775888.76323
123,788494608.7362013
124,82072185.52609156
125,4157402.800837257
126,3269439548.9999995
127,10660569.160268486
128,7668053.314620008
129,12372245.239558674
130,1030004.6426902775
131,7931296332.0171
132,133840560.21515375
133,1047681737.6558468
134,6402104.611349959
135,162683990717.06674
136,11513393246.22238
137,134120.59984744707
138,155266336.55187163
139,1648751.9592318623
140,33806676.8676434
141,31610920.259081244
142,69748840.56623769
143,61393815.80332584
144,7254739.241860651
145,11992333.446280535
146,13926014.935806189
