0|1|16
1|9|91
2|13|26
3|12|35
4|1|30
5|5|35
6|2|67
7|2|24
8|8|8
9|2|25
10|1|9
11|1|13
12|11|3
13|0|10
14|14|7
15|2|2
16|6|3
17|9|5
18|11|6
19|9|58
20|7|52
21|0|41
22|10|46
23|13|24
24|14|19
25|12|37
26|14|63
27|0|34
28|2|30
29|1|64
30|12|62
31|13|19
32|10|11
33|14|69
34|12|51
35|12|89
36|0|1
37|7|38
38|7|45
39|8|78
40|5|35
41|10|13
42|9|6
43|8|33
44|8|208
45|5|8
46|14|38
47|11|76
48|0|16
49|13|7
50|0|49
51|8|49
52|14|26
53|3|59
54|12|14
55|12|50
56|4|7
57|2|15
58|8|9
59|5|4
60|0|3
61|14|64
62|7|53
63|7|42
64|0|7
65|0|11
66|5|46
67|4|28
68|8|102
69|1|5
70|10|4
71|2|9
72|6|24
73|12|23
74|11|10
75|2|36
76|7|9
77|5|20
78|13|58
79|1|25
80|10|61
81|7|11
82|3|43
83|13|14
84|10|1
85|7|67
86|8|3
87|13|4
88|13|11
89|0|10
90|7|5
91|10|64
92|13|7
93|2|7
94|1|20
95|14|2
96|8|32
97|2|9
98|12|9
99|14|2
100|1|7
101|5|7
102|9|3
103|9|6
104|7|4
105|12|5
106|4|65
107|8|13
108|1|91
109|1|80
110|6|24
111|0|12
112|12|25
113|3|2
114|8|13
115|12|6
116|0|1
117|14|9
118|4|14
119|2|1
120|1|3
121|1|3
122|11|4
123|13|12
124|6|39
125|1|76
126|0|3
127|4|24
128|6|57
129|1|17
130|3|79
131|7|17
132|2|23
133|10|21
134|13|55
135|6|10
136|6|1
137|8|3
138|3|6
139|6|1
140|4|46
141|2|14
142|2|2
143|7|2
144|7|2
145|4|2
146|2|4
147|12|2
148|11|17
149|11|6
150|5|2
151|8|12
152|9|1
153|11|3
154|13|2
155|7|2
156|14|4
157|5|1
158|9|2
159|12|30
160|10|1
161|10|146
162|5|64
163|13|114
164|6|38
165|9|119
166|9|290
167|4|56
168|10|114
169|0|19
170|7|21
171|13|26
172|8|16
173|12|66
174|3|19
175|12|72
176|5|27
177|14|87
178|1|22
179|1|24
180|4|13
181|12|24
182|1|8
183|5|28
184|14|14
185|9|3
186|7|56
187|5|15
188|9|8
189|12|5
190|11|11
191|4|2
192|3|6
193|0|6
194|12|6
195|9|4
196|9|7
197|12|6
198|14|6
199|1|7
200|1|4
201|10|3
202|9|3
203|4|13
204|12|1
205|12|9
206|10|28
207|13|7
208|10|7
209|2|7
210|7|7
211|9|7
212|1|3
213|7|14
214|12|11
215|11|2
216|6|5
217|5|6
218|10|1
219|7|14
220|6|37
221|8|1
222|8|2
223|5|2
224|14|2
225|2|1
226|8|4
227|6|3
228|8|4
229|14|2
230|0|1
231|1|7
232|3|2
233|3|4
234|6|8
235|1|3
236|0|2
237|5|6
238|2|2
239|5|27
240|13|1
241|9|2
242|2|4
243|9|18
244|14|50
245|6|23
246|9|1
247|12|42
248|3|29
249|4|54
250|11|89
251|9|93
252|6|28
253|10|44
254|6|39
255|14|5
256|11|6
257|6|10
258|6|17
259|8|10
260|4|32
261|11|21
262|4|11
263|3|2
264|2|5
265|14|6
266|6|5
267|9|6
268|10|1
269|9|12
270|4|13
271|2|2
272|7|2
273|10|1
274|13|16
275|8|28
276|13|1
277|8|18
278|7|17
279|1|9
280|0|1
281|10|7
282|3|24
283|5|60
284|1|31
285|7|39
286|0|6
287|4|34
288|10|2
289|3|5
290|7|23
291|11|21
292|6|2
293|0|7
294|5|39
295|2|2
296|1|20
297|6|3
298|9|2
299|14|3
300|14|30
301|8|9
302|0|7
303|8|18
304|12|2
305|5|22
306|5|5
307|5|28
308|11|11
309|8|2
310|3|1
311|8|1
312|2|7
313|5|5
314|11|4
315|3|9
316|13|4
317|3|3
318|13|2
319|9|1
320|1|4
321|12|18
322|0|1
323|4|2
324|0|43
325|3|36
326|9|61
327|12|1
328|13|38
329|3|1
330|13|14
331|14|2
332|8|21
333|10|97
334|2|3
335|7|58
336|12|4
337|0|30
338|5|2
339|13|2
340|2|3
341|10|32
342|12|11
343|5|17
344|13|6
345|7|2
346|10|78
347|1|15
348|10|5
349|0|5
350|3|5
351|3|9
352|10|7
353|2|4
354|2|4
355|4|10
356|11|2
357|0|37
358|14|4
359|5|1
360|5|6
361|1|34
362|7|16
363|3|6
364|2|10
365|3|1
366|8|13
367|5|13
368|3|20
369|13|43
370|13|35
371|0|15
372|1|16
373|6|20
374|10|13
375|11|52
376|0|29
377|14|13
378|11|14
379|1|12
380|2|4
381|4|3
382|8|3
383|1|3
384|5|5
385|1|3
386|12|3
387|5|3
388|0|3
389|6|3
390|13|1
391|10|1
392|14|5
393|4|1
394|14|4
395|5|68
396|10|6
397|2|1
398|8|11
399|1|7
400|11|13
401|2|6
402|7|4
403|7|4
404|3|5
405|13|7
406|14|15
