QueryID,factorjoin_Estimate
1,5591852.966129181
2,58586400.0
3,1323422200.0
4,1054940000.0
5,2320727470.0
6,1429907500.0
7,1419336400.0
8,911300800.0
9,1078445600.0
10,1411466900.0
11,1395395900.0
12,5588214.034699831
13,5588214.034699831
14,47290000.0
15,2543873925.0
16,1430314100.0
17,80658900.0
18,143680100.0
19,1418609500.0
20,886722000.0
21,809993100.0
22,28800000.0
23,575926700.0
24,1352590600.0000002
25,5586121.9747404605
26,5586121.9747404605
27,5591852.966129181
28,5588214.034699831
29,1091737200.0
30,28800000.0
31,1317894600.0
32,150486400.0
33,1343281200.0
34,2438203520.0
35,1353850400.0
36,143892000.0
37,938710400.0
38,1043248800.0
39,1423189000.0000002
40,1380764700.0
41,1393822700.0000002
42,1197701300.0000002
43,1333860700.0
44,1420933700.0
45,1426295800.0
46,1151485900.0000002
47,146758100.0
48,298176400.0
49,2254364920.0
50,5591828.862774848
51,1110782700.0
52,1088914500.0
53,126496400.0
54,418866200.0
55,1297166800.0
56,112447900.0
57,715839700.0
58,956137.9338088002
59,1312398.2093498192
60,1350192.0387544276
61,360000.0
62,1026888000.0
63,1403100100.0
64,241265100.0
65,125222500.0
66,10.0
67,1419736.5363926603
68,49411200.0
69,13107400.0
70,349157100.0
71,92701800.0
72,56396000.0
73,360000.0
74,268706500.0
75,146722700.0
76,69538600.0
77,956137.9338088002
78,37000800.0
79,115491200.0
80,10.0
81,10.0
82,384160000.0
83,15683199.999999998
84,617107.6955692178
85,68492.41257048628
86,1300352.336228956
87,3804117.880546388
88,16160400.0
89,46676299.99659853
90,108764800.0
91,13791600.0
92,72351100.0
93,49780200.0
94,390929500.0
95,510056700.0
96,18183079174.0
97,720000.0
98,10.0
99,2160000.0
100,5160875.319818124
101,10.0
102,72310900.0
103,1209077.353951369
104,46331100.0
105,808515.844596528
106,16160400.0
107,1080000.0
108,55969900.0
109,132075200.0
110,360000.0
111,3294582977.0698795
112,1481000000.0
113,10.0
114,42057530200.0
115,5370208000.0
116,108790265400.0
117,31696900.0
118,158358692400.0
119,55070643600.0
120,234242975.67986232
121,53257822800.0
122,34786010900.0
123,224676376.93607265
124,8084567100.0
125,31696900.0
126,2888859238.815661
127,88095411500.0
128,110970484.29324704
129,4158968100.0
130,349717538500.0
131,210678764.1168029
132,115741985100.0
133,279294201200.0
134,128935919600.0
135,174517440.68695924
136,810820800.0
137,31696900.0
138,858924900.0
139,15535740978151.0
140,10.0
141,4558084397.881828
142,1061904248300.0
143,31696900.0
144,866407800.0
145,810820800.0
146,67279604700.0
147,667850735.3880376
148,9667850138.897692
149,1373268100.0
150,44206964.03774534
151,5650685750.2831135
152,6768204057.103554
153,4016722010.59533
154,59973872.06228584
155,31171898900.0
156,58579727200.0
157,8794136718.372969
158,12111130600.0
159,58082612.55249806
160,139078165500.0
161,1304646846900.0
162,21629147100.0
163,3620064700.0
164,19620832700.0
165,86359339500.0
166,242200.0
167,5300.9001647050245
168,4085400.0
169,13775600.0
170,2331.6901013057227
171,258400.0
172,10252700.0
173,12414200.0
174,1019400.0
175,11210800.0
176,135000.0
177,240900.0
178,114100.0
179,1600.0
180,182312.97589063377
181,190494.3526748281
182,46400.0
183,1182.115498403678
184,6017.821520511536
185,43300.0
186,3799.695253435744
187,1593300.0
188,6033.509419215288
189,4289099.999999999
190,262700.0
191,190700.0
192,1600.0
193,5437800.0
194,145000.0
195,22500.0
196,751300.0
197,51300.0
198,10.0
199,1129500.0
200,900800.0
201,18519.10535566813
202,304.4107225354946
203,468896300.0
204,540900.0
205,38162.342978240034
206,201483500.0
207,695800.0
208,2676200.0
209,5748.409680656017
210,79843.90233483842
211,6014.790564299242
212,709231200.0
213,2178200.0
214,82885400.0
215,9982.521144542286
216,5964.567421291161
217,135000.0
218,715000.0
219,10.0
220,24520.9417192182
221,181934549200.0
222,1403720197200.0
223,883429655100.0
224,114108840000.0
225,1078530000.0
226,3241653756000.0
227,113026004726.48932
228,576000000.0
229,1565835131200.0
230,112961657065.00104
231,5767652726100.0
232,28703597553939.0
233,953038727600.0
234,44107498527.27065
235,114108840000.0
