QueryID,lpbound_Estimate
1,296153.3870412422
2,2376.9999999999977
3,326803.3982381461
4,110826.9999999999
5,1685234.0596629349
6,863148.0291305728
7,1274246.0000000012
8,41377.94751005915
9,271161.73814220785
10,809459.9999999935
11,200367.99999999994
12,1197.9999999999984
13,1197.999999999997
14,22696.000000000004
15,271256.25186528027
16,863148.0291305728
17,2904.4297202721236
18,6068.7052984965185
19,863148.0291305728
20,97507.75902973075
21,378254.71509037854
22,54118.0961618376
23,58957.00000000014
24,1117389.9999999965
25,1198.0
26,1198.0
27,3979.2305548209824
28,1198.0
29,100505.9999999999
30,18730.99999999998
31,1781510.2514888959
32,45433.658943562856
33,379544.73477444006
34,486077.1106974697
35,1070560.000000001
36,75723.00000000009
37,529709.2614255473
38,44310.99999999988
39,1274246.0000000012
40,1274246.0000000012
41,1274246.0000000012
42,194257.00000000032
43,351089.0000000009
44,1274246.0000000012
45,1143296.386233673
46,130632.99999999975
47,6467.9999999999845
48,262478.99999999953
49,634273.9999999963
50,3593.9999999999955
51,115324.9999999997
52,1666407.542662945
53,84664.57577995655
54,28826.999999999884
55,271256.25186528027
56,90002.24992935463
57,139903.20429008274
58,4071.669446754322
59,68759.01198765356
60,83954.90181680881
61,4071.669446754332
62,1005533.1441379759
63,139301.83457155197
64,90224.13471190086
65,90224.13471190086
66,4071.669446754322
67,8943.008272732513
68,23891.852272270524
69,83954.90181680881
70,40892.220384847176
71,39752.082939723194
72,90224.13471190086
73,72912.60080397635
74,90224.13471190086
75,90224.13471190086
76,99336.0032344825
77,4071.669446754322
78,59350.06469979992
79,68759.01198765356
80,4071.669446754322
81,52425.2673662387
82,72912.60080397635
83,90224.13471190086
84,19560.503878990505
85,4071.669446754322
86,40892.220384847176
87,4071.669446754322
88,83954.90181680881
89,72912.60080397635
90,39819.78795747715
91,19540.30419415216
92,40892.220384847176
93,39570.58027371982
94,90224.13471190086
95,91171.73007943225
96,4541452.733275758
97,46637.45168853042
98,4048.614216966297
99,81010.00509196383
100,4071.669446754332
101,4071.669446754332
102,40892.220384847176
103,59350.06469979992
104,90002.24992935463
105,25216.12436517552
106,40892.220384847176
107,1161732.2597078914
108,90224.13471190086
109,90224.13471190086
110,30456.69450219449
111,34227.013286891575
112,1422032.0111908382
113,140246.13756142414
114,693985.395156034
115,46975.645134781305
116,162729.8113401612
117,10078.424498423241
